Player_ID,SEASON_ID,full_name,games_played,all_nba,FG_PCT,FG3_PCT,OREB,DREB,AST,STL,BLK,TOV,PTS,PLUS_MINUS
2544,22020,LeBron James,45,1,0.5057651587457097,0.7446991404011462,0.11972534332084894,0.6709155815179911,0.7143135129124621,0.4878960194963444,0.1642208245981831,0.8721773262525976,0.7672456639917162,0.7887358888475376
2546,22020,Carmelo Anthony,69,0,0.3148924908630768,0.8287654167185748,0.08064647451555121,0.20256625976898368,0.12067601425706963,0.2851340373679935,0.1627928174277641,0.1774567576521137,0.3783942419160599,0.4499700652093009
2730,22020,Dwight Howard,69,0,0.5574464378022799,0.10380590507038746,0.5759241165933887,0.5229455370890678,0.06167814266496975,0.16759085932257264,0.2656093336979309,0.3576741991507133,0.16423201161521234,0.4235077102312261
2738,22020,Andre Iguodala,63,0,0.2446778507874905,0.5753172329103561,0.11079900124843944,0.2309515116744032,0.19136892351803536,0.40582569339677377,0.1642208245981831,0.22120702356213784,0.07662438519285529,0.4072624807273114
101108,22020,Chris Paul,70,1,0.4756171989493102,0.7657797789602947,0.05758426966292136,0.3579810149689667,0.8192029736588156,0.6641058372983637,0.0802336028751123,0.5052808655209948,0.47946026404348957,0.6892551438141317
200752,22020,Rudy Gay,63,0,0.3062319012012139,0.7872492836676218,0.12453183520599251,0.36253585771658065,0.11022234930165879,0.3092723685737495,0.18768094239792352,0.2134665919011336,0.3106523427388041,0.5725415138143088
200755,22020,JJ Redick,44,0,0.22364562066633376,0.7636265954675697,0.0,0.06716120681071393,0.08771578684013012,0.07392363931762794,0.02015437392795883,0.16139459709074117,0.17915333113689313,0.47295395337821844
200765,22020,Rajon Rondo,45,0,0.3573686284176839,0.6463228271251195,0.06685393258426967,0.13951726096304407,0.39663970199872134,0.3639859193067966,0.026275331935709294,0.3899484337720311,0.1104814910691173,0.49374023074060297
200768,22020,Kyle Lowry,46,0,0.3852520894897694,0.846050828453968,0.14490718124084026,0.41204501801673094,0.6736095549923312,0.44308268286652774,0.08996445173639596,0.6297671990603637,0.5055833492779884,0.4632012426983383
200782,22020,P.J. Tucker,52,0,0.11470507366837535,0.569194952611858,0.19246974935177183,0.2349418653635521,0.08903985681568871,0.32737611697806657,0.11369134010643445,0.14945917624282898,0.054774836217367937,0.2970413100111649
200794,22020,Paul Millsap,56,0,0.43815871275157725,0.580267601309865,0.27387640449438205,0.2752347050539822,0.1436577433074806,0.40884298479749326,0.19002695417789758,0.18395619619355477,0.23038765208387263,0.5605959912807699
201144,22020,Mike Conley,51,0,0.36419657839053543,0.89887072307433,0.13301387970918707,0.21606640465605736,0.5441532129489274,0.6429492999474363,0.05216426193118757,0.4352071930134326,0.4728205752919858,1.0
201145,22020,Jeff Green,68,0,0.4975824979095038,0.7733861452890612,0.08848314606741572,0.28014679037003626,0.12834331631076248,0.21555884742199075,0.11736958934517203,0.1555271843209692,0.29943011374883893,0.55271678451805
201188,22020,Marc Gasol,52,0,0.28679559462969373,0.7307416795239144,0.13839671564390665,0.28399401803016255,0.17642847520255578,0.20064987814784727,0.3297048863086599,0.21041507557323763,0.09913727871920987,0.5551730554521772
201565,22020,Derrick Rose,50,0,0.41310759817709475,0.6898280802292264,0.06685393258426967,0.1560496531580869,0.3737082812109082,0.44396425670186834,0.11232704402515722,0.34226737474024477,0.42147864354128917,0.6009914402679569
201568,22020,Danilo Gallinari,51,0,0.35592066785819054,0.7640738243721558,0.05243445692883895,0.32651389873218356,0.11906184540366062,0.24537678597027765,0.057960291034652854,0.16747932144457875,0.3738339601955202,0.5606996650539636
201571,22020,D.J. Augustin,57,0,0.25778558741917346,0.7609334941939376,0.056229055785531244,0.0602114999071245,0.2902317088693714,0.1962033434520501,0.005185920776784729,0.23994701600456925,0.18759145469160865,0.4369459189469767
201572,22020,Brook Lopez,70,0,0.4898277865716508,0.6375460499386002,0.30168539325842697,0.29117665467063053,0.0456056327960256,0.23685737495648132,0.4349505840071878,0.18482699475541775,0.34095392182241785,0.6913700887872828
201577,22020,Robin Lopez,71,0,0.6955591547248205,0.13620404374672102,0.409874980218389,0.11832785688207374,0.05132018027605212,0.05428999668196015,0.18318717335459295,0.21946270093430587,0.2329943158823508,0.4616751495201204
201580,22020,JaVale McGee,46,0,0.4899730186294574,0.21022798056559117,0.3423913043478261,0.2965236439830468,0.058248033851475575,0.15657118638081446,0.347005742411813,0.2799333420336703,0.175618465036185,0.377377388715393
201586,22020,Serge Ibaka,41,0,0.49901820207262104,0.623523656440003,0.36544258701013976,0.44585615188024824,0.14885310324206572,0.058469219948089,0.3388556527074704,0.22356691126366357,0.30089308827336264,0.6596803035391724
201587,22020,Nicolas Batum,67,0,0.3755384786211853,0.788457426335372,0.14174911957068592,0.3441805212709726,0.18710749480020464,0.4692338470118943,0.1632404017647611,0.15477794587441457,0.20014508096329126,0.7211371501258133
201599,22020,DeAndre Jordan,57,0,1.0,0.0,0.4243051448846837,0.5002466004368351,0.1324467034486391,0.09837958014451237,0.3370848504910074,0.32549915541566915,0.18055301987819666,0.43608015199890315
201609,22020,Goran Dragic,50,0,0.3399881801920245,0.7359025787965617,0.08848314606741572,0.22831982475355966,0.3926424818613961,0.2817546709991876,0.04729559748427673,0.5373262525975524,0.38002226249029253,0.5101898027540008
201933,22020,Blake Griffin,46,0,0.34855022538980496,0.7196804534695402,0.14490718124084026,0.3612156134419099,0.26611262794922286,0.29982693462367105,0.09639048400328137,0.29053436800417615,0.2977200081036365,0.5329331240594813
